situation_lemmatized,situation_lemmatized_lowered
I am go to be a school shooter.,I I am go to be a school shooter.
I Argue with Idiots for Fun.,I i argue with idiot for fun.
I have be stalk a woman for 5 year and have no plan to stop. I can not be sham into stop so don’t even try. I am here to brag.,I i have be stalk a woman for 5 year and have no plan to stop. i can not be sham into stop so don’t even try. I am here to brag.
I Hate Being The Nice Guy.,I i hate be the nice guy.
Wholesome Confessions of a FAILED College Tryhard + Yappie.,Wholesome confession of a failed college tryhard + yappie.
I want to end my life.,I i want to end my life.
I really don’t wanna go back.,I i really don’t wanna go back.
I think it’s funny that people get so angry when someone correct their grammar or spelling. It’s not our fault you’re an illiterate idiot.,I i think it’s funny that people get so angry when someone correct their grammar or spelling. it’s not our fault you’re an illiterate idiot.
I find my mom attractive.,I i find my mom attractive.
I drink too much.,I i drink too much.
I'm a girl and I hate girl.,I i'm a girl and i hate girl.
I am lie to everyone around me &amp; myself.,I I am lie to everyone around me &amp; myself.
I am a murderer.,I I am a murderer.
Sometimes I wish I never wake up.,I sometimes i wish i never wake up.
I I'm consider a Friends with Benefits situation.,I i'm consider a friend with benefit situation.
I can't relate to anyone at work.,I i can't relate to anyone at work.
"I'm a smoker, when I get cancer I will not pay for treatment.","I i'm a smoker, when i get cancer i will not pay for treatment."
"I Went out for a swim in the lake today, swim out to the float dock, little kid be push all the other kid off the dock into the water, I push him into the water. I don't feel bad.","I go out for a swim in the lake today, swim out to the float dock, little kid be push all the other kid off the dock into the water, i push him into the water. i don't feel bad."
"When I comment on a post, I make sure to down vote everyone else in order to put my comment on a pedestal.","I when i comment on a post, i make sure to down vote everyone else in order to put my comment on a pedestal."
I am only vegetarian because i need an excuse.,I I am only vegetarian because i need an excuse.
I am abuse by my best friend when I am little.,I I am abuse by my best friend when I am little.
I When woman get brutally murder in movie I get aroused.,I when woman get brutally murder in movie i get arouse.
Wish I am like others in anger.,I wish I am like others in anger.
I think would have be attack if it wasn't for my dog.,I i think would have be attack if it wasn't for my dog.
I wish I am dead.,I i wish I am dead.
I try so hard to make everyone in my life happy and at this point my depression be at an all time high. I wish I could be more heartless.,I i try so hard to make everyone in my life happy and at this point my depression be at an all time high. i wish i could be more heartless.
I don't think I'm go to be able to get my master's degree and I don't know how to tell my folk.,I i don't think i'm go to be able to get my master's degree and i don't know how to tell my folk.
I don't think I'm go to be able to get my master's degree and I don't know how to tell my folk.,I i don't think i'm go to be able to get my master's degree and i don't know how to tell my folk.
22 year old. I’m a alcoholic.,I 22 year old. i’m a alcoholic.
I want to stop take my prescription so i can start drink again. It's so free.,I i want to stop take my prescription so i can start drink again. it's so free.
I pretend to be a girl on the internet.,I i pretend to be a girl on the internet.
I do not get that fat positive wave..,I i do not get that fat positive wave..
I use to make my best friend cry so that I could cry with him.,I i use to make my best friend cry so that i could cry with him.
I will NEVER help a republican with anything and neither should you.,I i will never help a republican with anything and neither should you.
I will NEVER help a republican with anything and neither should you.,I i will never help a republican with anything and neither should you.
"I go without eat for most of the day, then binge on the most unhealthy food, and over-eat to the point of discomfort.","I i go without eat for most of the day, then binge on the most unhealthy food, and over-eat to the point of discomfort."
"I go without eat for most of the day, then binge on the most unhealthy food, and over-eat to the point of discomfort.","I i go without eat for most of the day, then binge on the most unhealthy food, and over-eat to the point of discomfort."
I wish there be another holocaust so I could save some Jewish women.,I i wish there be another holocaust so i could save some jewish women.
I rely on my girlfriend for my happiness.,I i rely on my girlfriend for my happiness.
I rely on my girlfriend for my happiness.,I i rely on my girlfriend for my happiness.
I almost hit a kid in the parking lot at the park yesterday.,I i almost hit a kid in the parking lot at the park yesterday.
I almost hit a kid in the parking lot at the park yesterday.,I i almost hit a kid in the parking lot at the park yesterday.
I find other transgender people really annoy.,I i find other transgender people really annoy.
I use online erp as an escape.,I i use online erp as an escape.
I jack off to my mom.,I i jack off to my mom.
I have the sweet revenge on one of my school bully ever by put his name on a bomb threat as a signature which in turn end up on news.,I i have the sweet revenge on one of my school bully ever by put his name on a bomb threat as a signature which in turn end up on news.
I have the sweet revenge on one of my school bully ever by put his name on a bomb threat as a signature which in turn end up on news.,I i have the sweet revenge on one of my school bully ever by put his name on a bomb threat as a signature which in turn end up on news.
I have always resent my sibling because I feel they ruin my relationship with my mom.,I i have always resent my sibling because i feel they ruin my relationship with my mom.
I have always resent my sibling because I feel they ruin my relationship with my mom.,I i have always resent my sibling because i feel they ruin my relationship with my mom.
I have the sweet revenge on one of my school bully ever by put his name on a bomb threat as a signature which in turn end up on news.,I i have the sweet revenge on one of my school bully ever by put his name on a bomb threat as a signature which in turn end up on news.
I have the sweet revenge on one of my school bully ever by put his name on a bomb threat as a signature which in turn end up on news.,I i have the sweet revenge on one of my school bully ever by put his name on a bomb threat as a signature which in turn end up on news.
"I have a phobia of take dumps, so haven't i 5 days.","I i have a phobia of take dumps, so haven't i 5 days."
I Hurting myself for the great good.,I hurt myself for the great good.
I’m so jealous of my crush that I sometimes hope her and her boyfriend separate for good.,I i’m so jealous of my crush that i sometimes hope her and her boyfriend separate for good.
I break and I feel like a failure.,I i break and i feel like a failure.
I wanna make my best friend furious by bite her really hard so she can grab me and throw me across the room full force as a small child.,I i wanna make my best friend furious by bite her really hard so she can grab me and throw me across the room full force as a small child.
I wanna make my best friend furious by bite her really hard so she can grab me and throw me across the room full force as a small child.,I i wanna make my best friend furious by bite her really hard so she can grab me and throw me across the room full force as a small child.
"I feel like the most useless, worthless son in the world.","I i feel like the most useless, worthless son in the world."
Update: My Friend Just OD on Marijuana.,I update: my friend just od on marijuana.
Update: My Friend Just OD on Marijuana.,I update: my friend just od on marijuana.
I just buy a car behind my parent back.,I i just buy a car behind my parent back.
I just buy a car behind my parent back.,I i just buy a car behind my parent back.
I haven't take my med in week.,I i haven't take my med in week.
I sometimes intentionally say offense thing on the internet so I can laugh at how ppl get offend and say rude thing at me.,I i sometimes intentionally say offense thing on the internet so i can laugh at how ppl get offend and say rude thing at me.
I tell the girl i like I like her but pretend it is someone else tell her.,I i tell the girl i like i like her but pretend it is someone else tell her.
I tell the girl i like I like her but pretend it is someone else tell her.,I i tell the girl i like i like her but pretend it is someone else tell her.
"I miss you so much I slend my night drinking, smoking and listening to Phil Ochs.","I i miss you so much i slend my night drinking, smoking and listening to phil ochs."
I use to fool my parent to get day's off school.,I i use to fool my parent to get day's off school.
I am force to be a girl online for a year due to an ex friend of mine.,I I am force to be a girl online for a year due to an ex friend of mine.
I am force to be a girl online for a year due to an ex friend of mine.,I I am force to be a girl online for a year due to an ex friend of mine.
I smoke in every hotel I stay in.,I i smoke in every hotel i stay in.
I hate my Dad and can't wait to move out.,I i hate my dad and can't wait to move out.
I hate my Dad and can't wait to move out.,I i hate my dad and can't wait to move out.
I steal a tattoo apprenticeship.,I i steal a tattoo apprenticeship.
"I say hi to customer like I know them so they feel remembered, even when I don’t.","I i say hi to customer like i know them so they feel remembered, even when i don’t."
"The pressure and uncertainty of what I am go to do with my life make my time at college unbearable. I am suicidal for almost two year and I nearly act on it a few month before graduation. Now that I’m out, I am much happy and life feel worth live for the first time in years.","I the pressure and uncertainty of what I am go to do with my life make my time at college unbearable. I am suicidal for almost two year and i nearly act on it a few month before graduation. now that i’m out, I am much happy and life feel worth live for the first time in years."
I take over the counter sleep med to pass time.,I i take over the counter sleep med to pass time.
I take over the counter sleep med to pass time.,I i take over the counter sleep med to pass time.
"I have never in my life have a single guy friend that didn’t end up fall for me or try to get into my pants. And I’ve have many, many guy friends.","I i have never in my life have a single guy friend that didn’t end up fall for me or try to get into my pants. and i’ve have many, many guy friends."
I miss be a degenerate.,I i miss be a degenerate.
I watch channel like Nickelodeon and Disney Channel because the girl be hot.,I i watch channel like nickelodeon and disney channel because the girl be hot.
I am homeless once and like it.,I I am homeless once and like it.
I hit a 4-6 year old child in the face with a snowball from 100+ foot away.,I i hit a 4-6 year old child in the face with a snowball from 100+ foot away.
I get suspend from school when I am 8 year old.,I i get suspend from school when I am 8 year old.
I once have a horrible boss..,I i once have a horrible boss..
I am even bad of a sociopath as a kid.,I I am even bad of a sociopath as a kid.
I am even bad of a sociopath as a kid.,I I am even bad of a sociopath as a kid.
I’m 50 year old and I am begin to suspect I have some serious problem with dope.,I i’m 50 year old and I am begin to suspect i have some serious problem with dope.
"A co-worker I am in love with quit last week, but I am engaged.","I a co-worker I am in love with quit last week, but I am engaged."
I have a very traumatic incident occur the other day.,I i have a very traumatic incident occur the other day.
I smoke too much now I have to work.,I i smoke too much now i have to work.
I dishonor my family.,I i dishonor my family.
"I Moving in with fiance, but meet someone else.","I move in with fiance, but meet someone else."
I still fantasize about my high school teacher even though I am 28.,I i still fantasize about my high school teacher even though I am 28.
I still fantasize about my high school teacher even though I am 28.,I i still fantasize about my high school teacher even though I am 28.
I think my girlfriend be crazy.,I i think my girlfriend be crazy.
I think my girlfriend be crazy.,I i think my girlfriend be crazy.
"I hook up with a man 26 year old than me, and I feel weird about it.","I i hook up with a man 26 year old than me, and i feel weird about it."
I hate hay people so much.,I i hate hay people so much.
I hate hay people so much.,I i hate hay people so much.
I break my own foot because my mother didn't believe me that it hurt.,I i break my own foot because my mother didn't believe me that it hurt.
I hate people who self-pity.,I i hate people who self-pity.
I basically lie about my entire past to a girl I am seeing. And then I marry her.,I i basically lie about my entire past to a girl I am seeing. and then i marry her.
I either have postpartum depression or I hate everyone.,I i either have postpartum depression or i hate everyone.
I Sisters drug addiction and my mom struggle.,I sister drug addiction and my mom struggle.
I Sisters drug addiction and my mom struggle.,I sister drug addiction and my mom struggle.
Back in high school I once swat a kid who mess with me.,I back in high school i once swat a kid who mess with me.
I'm nota racist but every time I drink I yell racial slur at people from my apartment window.,I i'm nota racist but every time i drink i yell racial slur at people from my apartment window.
I'm nota racist but every time I drink I yell racial slur at people from my apartment window.,I i'm nota racist but every time i drink i yell racial slur at people from my apartment window.
I think I'm a pervert.,I i think i'm a pervert.
I think my wife be go to tell me she want a divorce and I couldn’t be happier.,I i think my wife be go to tell me she want a divorce and i couldn’t be happier.
I secretly hate my stepmother and step-siblings.,I i secretly hate my stepmother and step-siblings.
As a prank I throw rock at dog in the street.,I as a prank i throw rock at dog in the street.
I am ashamed to be who I am.,I I am ashamed to be who I am.
I wish I never get married.,I i wish i never get married.
I am a Total Mamma's Boy.,I I am a total mamma's boy.
I really hate myself.,I i really hate myself.
Low-key I still hope my ex texts me one day..,I low-key i still hope my ex texts me one day..
I need to break off thing with one of my close friend.,I i need to break off thing with one of my close friend.
I am gonna choke slam the next guy who passive-aggressively hit on me.,I I am gonna choke slam the next guy who passive-aggressively hit on me.
I am gonna choke slam the next guy who passive-aggressively hit on me.,I I am gonna choke slam the next guy who passive-aggressively hit on me.
I lie to my boyfriend about my ex.,I i lie to my boyfriend about my ex.
I lie to my boyfriend about my ex.,I i lie to my boyfriend about my ex.
I hurt someone and now it eat at me everyday.,I i hurt someone and now it eat at me everyday.
Sometimes it hurt to be crush hard on a guy with a girlfriend. Involves static electricity and roll office chairs.,Sometimes it hurt to be crush hard on a guy with a girlfriend. involve static electricity and roll office chairs.
Sometimes it hurt to be crush hard on a guy with a girlfriend. Involves static electricity and roll office chairs.,Sometimes it hurt to be crush hard on a guy with a girlfriend. involve static electricity and roll office chairs.
I Addicted to an embarrassing game.,I addict to an embarrassing game.
I try to hang my sister.,I i try to hang my sister.
I like to squeeze my testicals?.,I i like to squeeze my testicals?.
I am a huge cuck.,I I am a huge cuck.
I lie about how I leave my job.,I i lie about how i leave my job.
If you’re a woman I want to break your self worth.,I if you’re a woman i want to break your self worth.
I give this guy I am see an STD and it cause him to break up with me.,I i give this guy I am see an std and it cause him to break up with me.
The only time I feel any sort of empathy or sadness be when I'm high.,I the only time i feel any sort of empathy or sadness be when i'm high.
I am the reason he suffers.,I I am the reason he suffers.
I Bored with Mental Illness.,I bore with mental illness.
"I have a huge fight with my bff, but i'm cant stand her anymore.","I i have a huge fight with my bff, but i'm cant stand her anymore."
"I have a huge fight with my bff, but i'm cant stand her anymore.","I i have a huge fight with my bff, but i'm cant stand her anymore."
Whenever I see someone say “millennials be fragile”..,I whenever i see someone say “millennials be fragile”..
"I wanna run away, somewhere, anywhere but home, to find a new home.","I i wanna run away, somewhere, anywhere but home, to find a new home."
"I wanna run away, somewhere, anywhere but home, to find a new home.","I i wanna run away, somewhere, anywhere but home, to find a new home."
I amlieve my father be cheat in my mother.,I I amlieve my father be cheat in my mother.
I amlieve my father be cheat in my mother.,I I amlieve my father be cheat in my mother.
I steal the secretary's purse in school and would have be kick out of school if I would have tell anyone. Karma strike back though.,I i steal the secretary's purse in school and would have be kick out of school if i would have tell anyone. karma strike back though.
I have find the fast way to ruin your life be to chase your dreams.,I i have find the fast way to ruin your life be to chase your dreams.
I Toxic Masculinity in Minorities MUST To Be Defeated!.,I toxic masculinity in minority must to be defeated!.
I Toxic Masculinity in Minorities MUST To Be Defeated!.,I toxic masculinity in minority must to be defeated!.
I Really Contemplating Ending It All.,I really contemplate end it all.
I spoil BO3’s campaign mode to a streamer.,I i spoil bo3’s campaign mode to a streamer.
I spoil BO3’s campaign mode to a streamer.,I i spoil bo3’s campaign mode to a streamer.
Cardi B Did NOTHING Wrong.,I cardi b do nothing wrong.
I know my husband cheating.,I i know my husband cheating.
I know my husband cheating.,I i know my husband cheating.
"I work next door to a medical clinic for the indigent, and I'm utterly disgust by their behavior, filth and the tole they take on society.","I i work next door to a medical clinic for the indigent, and i'm utterly disgust by their behavior, filth and the tole they take on society."
I one create five sock puppet account to troll someone and convince everyone that they have sock puppet account.,I i one create five sock puppet account to troll someone and convince everyone that they have sock puppet account.
I one create five sock puppet account to troll someone and convince everyone that they have sock puppet account.,I i one create five sock puppet account to troll someone and convince everyone that they have sock puppet account.
I feel bad for a moderator that ban me.,I i feel bad for a moderator that ban me.
I have such bad ptsd from my ex abuse me for month that anytime I'm alone I think someone in my house or try to break in.,I i have such bad ptsd from my ex abuse me for month that anytime i'm alone i think someone in my house or try to break in.
I pee my pant and someone else get blame for it.,I i pee my pant and someone else get blame for it.
"I wasn't just modest, I just hat myself in a way.","I i wasn't just modest, i just hat myself in a way."
I have a crush on my boyfriend best friend.,I i have a crush on my boyfriend best friend.
"I start wear diaper by choice because I’m too lazy to use the bathroom, and now I can’t stop.","I i start wear diaper by choice because i’m too lazy to use the bathroom, and now i can’t stop."
"I start wear diaper by choice because I’m too lazy to use the bathroom, and now I can’t stop.","I i start wear diaper by choice because i’m too lazy to use the bathroom, and now i can’t stop."
I can't sleep at night because I feel guilty for all the evil deed and conspiracy we Jews commit.,I i can't sleep at night because i feel guilty for all the evil deed and conspiracy we jews commit.
I want to sleep with my mother in law.,I i want to sleep with my mother in law.
I want to sleep with my mother in law.,I i want to sleep with my mother in law.
I want to sleep with my mother in law.,I i want to sleep with my mother in law.
I think I am have a heart attack yesterday. I felt relief because if I die naturally my fiance' and son would get my life insurance policy and live a good life. I'm sad that I'm still here today.,I i think I am have a heart attack yesterday. i felt relief because if i die naturally my fiance' and son would get my life insurance policy and live a good life. i'm sad that i'm still here today.
I have the option to cheat on my boyfriend tonight.,I i have the option to cheat on my boyfriend tonight.
"Whenever I'm in a relationship I don't want to be in anymore, I secretly hope they cheat on me.","I whenever i'm in a relationship i don't want to be in anymore, i secretly hope they cheat on me."
I am a guy who wear woman thong underwear.,I I am a guy who wear woman thong underwear.
I use think I wasn’t a selfish person.,I i use think i wasn’t a selfish person.
I like pineapple on my pizza.,I i like pineapple on my pizza.
I think I find a dead body..,I i think i find a dead body..
I slap my girlfriend and kick her after she cut me off.,I i slap my girlfriend and kick her after she cut me off.
I don't like hood Nlggers.,I i don't like hood nlggers.
I lie all the time.,I i lie all the time.
I call the cop on my Aunty for not feed her kid and have them clean the house at 11P.M on a school night.,I i call the cop on my aunty for not feed her kid and have them clean the house at 11p.m on a school night.
I call the cop on my Aunty for not feed her kid and have them clean the house at 11P.M on a school night.,I i call the cop on my aunty for not feed her kid and have them clean the house at 11p.m on a school night.
I steal my dad's medical marijuana and smoke it with my boyfriend.,I i steal my dad's medical marijuana and smoke it with my boyfriend.
I steal my dad's medical marijuana and smoke it with my boyfriend.,I i steal my dad's medical marijuana and smoke it with my boyfriend.
I steal my dad's medical marijuana and smoke it with my boyfriend.,I i steal my dad's medical marijuana and smoke it with my boyfriend.
I Joined a prestigious university by cheat and my life have never be worse.,I join a prestigious university by cheat and my life have never be worse.
"I Nothing would make me happier, then set down in front of city hall open a gasoline tank and dose myself a flame.","I don'thing would make me happier, then set down in front of city hall open a gasoline tank and dose myself a flame."
I use to manipulate people a lot.,I i use to manipulate people a lot.
I use to manipulate people a lot.,I i use to manipulate people a lot.
I cheat on my girlfriend with a guy.,I i cheat on my girlfriend with a guy.
I send snap to the wrong person. it is about them.,I i send snap to the wrong person. it is about them.
"I call nearly everyone bud and I cringe every time I do so. However, I can't stop.","I i call nearly everyone bud and i cringe every time i do so. however, i can't stop."
I use to hate the fact I have Tourette’s.,I i use to hate the fact i have tourette’s.
I think the lyric of pump up kick be funny.,I i think the lyric of pump up kick be funny.
"When I sleep with a take man, the part I most enjoy be be cuddle and kissed.","I when i sleep with a take man, the part i most enjoyed be be cuddle and kissed."
I Moving away unexpectedly I hope.,I move away unexpectedly i hope.
I lie about what I'm actually major in college.,I i lie about what i'm actually major in college.
"I make extra food when I cook and deliver it to him even though it's a 30 minute drive, just so he have a home cook meal every night instead of eat burger king or pizza.","I i make extra food when i cook and deliver it to him even though it's a 30 minute drive, just so he have a home cook meal every night instead of eat burger king or pizza."
"I can't stop my fantasies, and it's get dangerous.","I i can't stop my fantasies, and it's get dangerous."
"I can't stop my fantasies, and it's get dangerous.","I i can't stop my fantasies, and it's get dangerous."
"I can't stop my fantasies, and it's get dangerous.","I i can't stop my fantasies, and it's get dangerous."
I get murderous intention whenever someone make me mad.,I i get murderous intention whenever someone make me mad.
"I Traded handjobs with my best friend in middle school. I don’t regret the act, but I do regret that it ruin our friendship.","I trade handjobs with my best friend in middle school. i don’t regret the act, but i do regret that it ruin our friendship."
"I Traded handjobs with my best friend in middle school. I don’t regret the act, but I do regret that it ruin our friendship.","I trade handjobs with my best friend in middle school. i don’t regret the act, but i do regret that it ruin our friendship."
I live like a lazy slob for a couple year.,I i live like a lazy slob for a couple year.
I live like a lazy slob for a couple year.,I i live like a lazy slob for a couple year.
I bully a kid with hearing problem.,I i bully a kid with hearing problem.
I Molested when I am younger by neighbor who end up famous.,I molest when I am young by neighbor who end up famous.
I will undo my mistakes.,I i will undo my mistakes.
I will undo my mistakes.,I i will undo my mistakes.
I wake up much later than what I tell people.,I i wake up much later than what i tell people.
I swear I do not sleep with my boss..but I wouldn't be sad if i did.,I i swear i do not sleep with my boss..but i wouldn't be sad if i did.
I want to leave my abusive LTR.,I i want to leave my abusive ltr.
I find out my pastor be a white supremacist during a church lock in.,I i find out my pastor be a white supremacist during a church lock in.
I find out my pastor be a white supremacist during a church lock in.,I i find out my pastor be a white supremacist during a church lock in.
I make this account to troll because I am bore and lonely.,I i make this account to troll because I am bore and lonely.
I make this account to troll because I am bore and lonely.,I i make this account to troll because I am bore and lonely.
I have two boyfriends. And I don’t know what to do.,I i have two boyfriends. and i don’t know what to do.
I have two boyfriends. And I don’t know what to do.,I i have two boyfriends. and i don’t know what to do.
I am very racist.,I I am very racist.
I am very racist.,I I am very racist.
"I Falsified an health insurance claim, now get audit and freak out.","I falsify an health insurance claim, now get audit and freak out."
"I Falsified an health insurance claim, now get audit and freak out.","I falsify an health insurance claim, now get audit and freak out."
I don't put salt if you ask for salt..,I i don't put salt if you ask for salt..
I wish i have rich people kind of money. Life would be so much easier.,I i wish i have rich people kind of money. life would be so much easier.
I hope my wife never find out how much I spend.,I i hope my wife never find out how much i spend.
I think I'm addict to eat parmesan cheese.,I i think i'm addict to eat parmesan cheese.
I Why do NlGGERS Smell Like The Ape Infested Swamps of Africa?.,I why do nlggers smell like the ape infest swamp of africa?.
I am ban from every McDonald’s store in the world but I still eat there.,I I am ban from every mcdonald’s store in the world but i still eat there.
I am ban from every McDonald’s store in the world but I still eat there.,I I am ban from every mcdonald’s store in the world but i still eat there.
I am so f in love.,I I am so f in love.
I am so f in love.,I I am so f in love.
"I hate my kids, and resent my wife because of them.","I i hate my kids, and resent my wife because of them."
"I hate my kids, and resent my wife because of them.","I i hate my kids, and resent my wife because of them."
I feel guilty have not stop bully.,I i feel guilty have not stop bully.
I take advantage of my childhood friend while he is deunk and I think i ruin his daughter’s home.,I i take advantage of my childhood friend while he is deunk and i think i ruin his daughter’s home.
I saw a boy i have a crush for the first time in 5 month and I've have 3 dream where I've leave my fiance for him.,I i saw a boy i have a crush for the first time in 5 month and i've have 3 dream where i've leave my fiance for him.
I saw a boy i have a crush for the first time in 5 month and I've have 3 dream where I've leave my fiance for him.,I i saw a boy i have a crush for the first time in 5 month and i've have 3 dream where i've leave my fiance for him.
I take advantage of my childhood friend while he is deunk and I think i ruin his daughter’s home.,I i take advantage of my childhood friend while he is deunk and i think i ruin his daughter’s home.
"Until last night, I use to say the n-word a lot, and I claim I wasn’t racist.","I until last night, i use to say the n-word a lot, and i claim i wasn’t racist."
I often laugh at how comical my life can be.,I i often laugh at how comical my life can be.
"I Cheated on my ex, she find out and break up with me.","I cheat on my ex, she find out and break up with me."
"I Cheated on my ex, she find out and break up with me.","I cheat on my ex, she find out and break up with me."
"I Cheated on my ex, she find out and break up with me.","I cheat on my ex, she find out and break up with me."
Im a nice guy and its awful.,I im a nice guy and its awful.
I pay for a marriage license to a marriage I don't want.,I i pay for a marriage license to a marriage i don't want.
I have an affair with one of my coworkers.,I i have an affair with one of my coworkers.
I have an affair with one of my coworkers.,I i have an affair with one of my coworkers.
I The Jews be try to assassinate me.,I the jew be try to assassinate me.
I’m a waste of space.,I i’m a waste of space.
I lie REALLY hard on Omegle.,I i lie really hard on omegle.
I Open Tankies Are Better Than SJWs.,I open tankies be good than sjws.
I hate furrys and even create a Instagram where I pretend to be a furry and troll this guy from my school who be a furry.,I i hate furrys and even create a instagram where i pretend to be a furry and troll this guy from my school who be a furry.
I Dudes with girlfriend ask me out.,I dude with girlfriend ask me out.
I Dudes with girlfriend ask me out.,I dude with girlfriend ask me out.
I lose my best friend and I feel like it's my fault.,I i lose my best friend and i feel like it's my fault.
I am a grown man child.,I I am a grown man child.
"Because of some extreme feminist, I have a bad look about every woman complain about inequality.","I amcause of some extreme feminist, i have a bad look about every woman complain about inequality."
I leave my GF in college for gain weight.,I i leave my gf in college for gain weight.
I leave my GF in college for gain weight.,I i leave my gf in college for gain weight.
I keep hack the subway card vend machine.,I i keep hack the subway card vend machine.
I think I’m a narcissist.,I i think i’m a narcissist.
I think I’m a narcissist.,I i think i’m a narcissist.
When I see that the public toilet I’m use have 1 ply toilet paper I purposely use an outrageous amount in spite.,I when i see that the public toilet i’m use have 1 ply toilet paper i purposely use an outrageous amount in spite.
When I see that the public toilet I’m use have 1 ply toilet paper I purposely use an outrageous amount in spite.,I when i see that the public toilet i’m use have 1 ply toilet paper i purposely use an outrageous amount in spite.
I recently make a confession and be get attack for it while many others be not for the same thing.,I i recently make a confession and be get attack for it while many others be not for the same thing.
I recently make a confession and be get attack for it while many others be not for the same thing.,I i recently make a confession and be get attack for it while many others be not for the same thing.
I hate my kind.,I i hate my kind.
"I have be eat junk food for the past month and it feel horrible, horrible.","I i have be eat junk food for the past month and it feel horrible, horrible."
"I Fantasized about my sister, feel guilty, any advice?.","I fantasize about my sister, feel guilty, any advice?."
I feel like I'm the fault for someone's death.,I i feel like i'm the fault for someone's death.
I feel like I'm the fault for someone's death.,I i feel like i'm the fault for someone's death.
I love someone who i shouldnt.,I i love someone who i shouldnt.
I love my partner but I can’t stop loving my ex.,I i love my partner but i can’t stop loving my ex.
I love my partner but I can’t stop loving my ex.,I i love my partner but i can’t stop loving my ex.
I make money by use a discount card as a cashier.,I i make money by use a discount card as a cashier.
I make money by use a discount card as a cashier.,I i make money by use a discount card as a cashier.
I Constantly sick. Feeling like I want to give up and live my life.,I constantly sick. feel like i want to give up and live my life.
I lose my virginity cheating.,I i lose my virginity cheating.
I Thinking back I don't know if I'm desensitize due to childhood abuse or have sociopathic tendency.,I think back i don't know if i'm desensitize due to childhood abuse or have sociopathic tendency.
I just take the maiden voyage on the new toilet seat I instal earlier.,I i just take the maiden voyage on the new toilet seat i instal earlier.
I don't think I really love my boyfriend.,I i don't think i really love my boyfriend.
I don't think I really love my boyfriend.,I i don't think i really love my boyfriend.
I get free McDonalds twice a day.,I i get free mcdonalds twice a day.
I amlieve racism be acceptable under certain circumstance.,I I amlieve racism be acceptable under certain circumstance.
I peak at my friend's sister take a shower for years. I use the peephole he make to watch his brother.,I i peak at my friend's sister take a shower for years. i use the peephole he make to watch his brother.
I feel horrible. me and my husband commit a huge sin.,I i feel horrible. me and my husband commit a huge sin.
"My mother-in-law think I'm autistic, and I let her because it's just easier.","I my mother-in-law think i'm autistic, and i let her because it's just easier."
I think very dark thought about my friend.,I i think very dark thought about my friend.
I masturbate to picture of my sister during early puberty.,I i masturbate to picture of my sister during early puberty.
I think it's funny when rich people complain on how they get treated.,I i think it's funny when rich people complain on how they get treated.
I think it's funny when rich people complain on how they get treated.,I i think it's funny when rich people complain on how they get treated.
I use to give away free stuff when I work at Target.,I i use to give away free stuff when i work at target.
I am infertile and still haven’t told my fiancé.,I I am infertile and still haven’t told my fiancé.
I am infertile and still haven’t told my fiancé.,I I am infertile and still haven’t told my fiancé.
I didnt go to my own graduation because I didnt want my family there.,I i didnt go to my own graduation because i didnt want my family there.
During final week at my college I usually airdrop random people in my class picture of puppy and funny memes... sorry if I’m annoy you.,During final week at my college i usually airdrop random people in my class picture of puppy and funny memes... sorry if i’m annoying you.
"I felt kind of happy today after realize how sad I feel, because normally I don't feel anything.","I i felt kind of happy today after realize how sad i feel, because normally i don't feel anything."
"I just spend 10 minute look at gift from my teenage girlfriend, first love - Im a 25 year old man.","I i just spend 10 minute look at gift from my teenage girlfriend, first love - im a 25 year old man."
"Hi, I am ieatskeksisforbrkfst and I am addict to McDonalds.","I hi, I am ieatskeksisforbrkfst and I am addict to mcdonalds."
I have something to admit.,I i have something to admit.
I want to tell my parent that I smoke.,I i want to tell my parent that i smoke.
I want to tell my parent that I smoke.,I i want to tell my parent that i smoke.
I fell off of my eletric skateboard today and I get a dime size cut on my elbow. I go to the doctor and get stitches. I didnt tell me parent and I dont think I will any time soon either.,I i fell off of my eletric skateboard today and i get a dime size cut on my elbow. i go to the doctor and get stitches. i didnt tell me parent and i dont think i will any time soon either.
I have not be clean for 4 months.,I i have not be clean for 4 months.
I almost shoot up my school.,I i almost shoot up my school.
I almost shoot up my school.,I i almost shoot up my school.
I can't stop lying to my family.,I i can't stop lying to my family.
I can't stop lying to my family.,I i can't stop lying to my family.
"I borrow 20 buck from my best friend 15 year ago and to this day I've never pay him back. I'm sorry, Tom.","I i borrow 20 buck from my best friend 15 year ago and to this day i've never pay him back. i'm sorry, tom."
I Skipping class due to anxiety.,I skip class due to anxiety.
I find it so awkward be in a car when the driver road rages.,I i find it so awkward be in a car when the driver road rages.
I bully dark skinned kid at my school because I am bully for have darker skin.,I i bully dark skinned kid at my school because I am bully for have darker skin.
I Ruined someone relationship fr jealousy.,I ruin someone relationship fr jealousy.
Some day I want to let go of the steering wheel..,I some day i want to let go of the steering wheel..
I sometimes call nerdy men fish because they smell like them.,I i sometimes call nerdy men fish because they smell like them.
I drink my friend's booger.,I i drink my friend's booger.
I only learn drum because I am bully as a child.,I i only learn drum because I am bully as a child.
I only learn drum because I am bully as a child.,I i only learn drum because I am bully as a child.
"I am 26, lose sanity. I use drug and people to stay afloat.","I I am 26, lose sanity. i use drug and people to stay afloat."
